"","sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"RV/R4A.PHL/2007/Z-07-252.281","AB683631","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Quezon","2007","2007",2007,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-252"
"RV/R4A.PHL/2007/Z-07-307","AB563835","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4A, Cavite","2007","2007",2007,789,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-307"
"RV/R4A.PHL/2007/Z-07-317","AB563836","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2007","2007",2007,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-317"
"RV/R4A.PHL/2007/Z-07-330","AB563837","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4A, Cavite","2007","2007",2007,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4A.PHL/2007/Z-07-330"
"RV/R4A.PHL/2011/TRa-393","LC018536","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-A, Laguna","2011","2011",2011,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4A.PHL/2011/TRa-393"
"RV/R4A.PHL/2012/TRa-398","LC018540","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-A, Quezon","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4A.PHL/2012/TRa-398"
"RV/R4A.PHL/2012/TRa-401","LC018542","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-A, Batangas","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4A.PHL/2012/TRa-401"
"RV/R4A.PHL/2012/TRa-404","LC018544","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-A, Batangas","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4A.PHL/2012/TRa-404"
"RV/R4A.PHL/2013/TRa-485","LC068916","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region IV, Batangas","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R4A.PHL/2013/TRa-485"
"RV/R4B.PHL/2006/Z-06-197","AB698023","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 4A, Batangas","2006","2006",2006,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4B.PHL/2006/Z-06-197"
"RV/R4B.PHL/2006/Z-06-203.35","AB563821","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region4B, Oriental Mindoro","2006","2006",2006,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R4B.PHL/2006/Z-06-203"
"RV/R4B.PHL/2006/Z-06-203.324","AB738088","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4B, Oriental Mindoro","2006","2006",2006,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4B.PHL/2006/Z-06-203"
"RV/R4B.PHL/2006/Z-06-408.45","AB563831","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R4B, Oriental Mindoro","2006","2006",2006,1549,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4B.PHL/2006/Z-06-408"
"RV/R4B.PHL/2006/Z-06-408.304","AB698024","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 4B, Oriental Mindoro","2006","2006",2006,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R4B.PHL/2006/Z-06-408"
"RV/R4B.PHL/2011/TRa-392.422","LC018535","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2011","2011",2011,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2011/TRa-392"
"RV/R4B.PHL/2011/TRa-392.493","LC018606","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2011","2011",2011,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2011/TRa-392"
"RV/R4B.PHL/2011/TRa-394.424","LC018537","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2011","2011",2011,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2011/TRa-394"
"RV/R4B.PHL/2011/TRa-394.494","LC018607","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2011","2011",2011,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2011/TRa-394"
"RV/R4B.PHL/2011/TRa-396.425","LC018538","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2011","2011",2011,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2011/TRa-396"
"RV/R4B.PHL/2011/TRa-396.495","LC018608","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2011","2011",2011,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2011/TRa-396"
"RV/R4B.PHL/2012/TRa-397.426","LC018539","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2012/TRa-397"
"RV/R4B.PHL/2012/TRa-397.496","LC018609","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2012/TRa-397"
"RV/R4B.PHL/2012/TRa-400.428","LC018541","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2012/TRa-400"
"RV/R4B.PHL/2012/TRa-400.497","LC018610","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2012/TRa-400"
"RV/R4B.PHL/2012/TRa-402.430","LC018543","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2012/TRa-402"
"RV/R4B.PHL/2012/TRa-402.498","LC018611","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Romblon","2012","2012",2012,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2012/TRa-402"
"RV/R4B.PHL/2013/TRa-486","LC018584","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Palawan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2013/TRa-486"
"RV/R4B.PHL/2013/TRa-487","LC018585","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","IV-B, Palawan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R4B.PHL/2013/TRa-487"
"RV/R5.PHL/2008/TRa-005.53","AB563839","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-005"
"RV/R5.PHL/2008/TRa-005.301","AB683651","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Albay","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-005"
"RV/R5.PHL/2008/TRa-031","AB563858","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-031"
"RV/R5.PHL/2008/TRa-032","AB563859","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-032"
"RV/R5.PHL/2008/TRa-034.74","AB563860","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-034"
"RV/R5.PHL/2008/TRa-034.282","AB683632","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Albay","2008","2008",2008,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-034"
"RV/R5.PHL/2008/TRa-036","AB563861","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Camarines Sur","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-036"
"RV/R5.PHL/2008/TRa-037","AB563862","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Camarines Sur","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-037"
"RV/R5.PHL/2008/TRa-067.100","AB563886","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-067"
"RV/R5.PHL/2008/TRa-067.283","AB683633","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Albay","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-067"
"RV/R5.PHL/2008/TRa-071.101","AB563887","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Camarines Sur","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-071"
"RV/R5.PHL/2008/TRa-071.284","AB683634","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Camarines Sur","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-071"
"RV/R5.PHL/2008/TRa-072.102","AB563888","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-072"
"RV/R5.PHL/2008/TRa-072.285","AB683635","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Albay","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-072"
"RV/R5.PHL/2008/TRa-073.103","AB563889","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Sorsogon","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-073"
"RV/R5.PHL/2008/TRa-073.286","AB683636","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Sorsogon","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-073"
"RV/R5.PHL/2008/TRa-120.147","AB563933","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Catanduanes","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-120"
"RV/R5.PHL/2008/TRa-120.287","AB683637","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Catanduanes","2008","2008",2008,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-120"
"RV/R5.PHL/2008/TRa-121","AB563934","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Camarines Sur","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-121"
"RV/R5.PHL/2008/TRa-122.149","AB563935","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Albay","2008","2008",2008,786,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-122"
"RV/R5.PHL/2008/TRa-122.288","AB683638","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Albay","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-122"
"RV/R5.PHL/2008/TRa-123.150","AB563936","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Catanduanes","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-123"
"RV/R5.PHL/2008/TRa-123.289","AB683639","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Catanduanes","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2008/TRa-123"
"RV/R5.PHL/2009/TRa-183.183","AB563969","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-183"
"RV/R5.PHL/2009/TRa-183.290","AB683640","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 5, Albay","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-183"
"RV/R5.PHL/2009/TRa-225","AB563994","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-225"
"RV/R5.PHL/2009/TRa-226","AB563995","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-226"
"RV/R5.PHL/2009/TRa-227","AB563996","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-227"
"RV/R5.PHL/2009/TRa-229","AB563997","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Catanduanes","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-229"
"RV/R5.PHL/2009/TRa-231","AB563998","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Camarines Norte","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-231"
"RV/R5.PHL/2009/TRa-268","AB733977","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Sorsogon","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-268"
"RV/R5.PHL/2009/TRa-269","AB771916","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 5, Catanduanes","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-269"
"RV/R5.PHL/2009/TRa-271","AB771917","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 5, Camarines Norte","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-271"
"RV/R5.PHL/2009/TRa-272","AB733978","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-272"
"RV/R5.PHL/2009/TRa-273","AB733979","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region5, Albay","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R5.PHL/2009/TRa-273"
"RV/R5.PHL/2012/TRa-337","LC018502","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Camarines Sur","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-337"
"RV/R5.PHL/2012/TRa-338","LC018503","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Catanduanes","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-338"
"RV/R5.PHL/2012/TRa-339","LC018504","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-339"
"RV/R5.PHL/2012/TRa-340","LC018505","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Camarines Norte","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-340"
"RV/R5.PHL/2012/TRa-343","LC018506","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Camarines Norte","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-343"
"RV/R5.PHL/2012/TRa-344","LC018507","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Camarines Sur","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-344"
"RV/R5.PHL/2012/TRa-355","LC018517","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-355"
"RV/R5.PHL/2012/TRa-356","LC018518","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-356"
"RV/R5.PHL/2012/TRa-357","LC018519","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Sorsogon","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-357"
"RV/R5.PHL/2012/TRa-358","LC018520","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Camarines Norte","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-358"
"RV/R5.PHL/2012/TRa-360","LC018521","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-360"
"RV/R5.PHL/2012/TRa-362","LC018522","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2012/TRa-362"
"RV/R5.PHL/2013/TRa-364","LC018523","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-364"
"RV/R5.PHL/2013/TRa-365","LC018524","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-365"
"RV/R5.PHL/2013/TRa-421","LC018549","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-421"
"RV/R5.PHL/2013/TRa-422","LC018550","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-422"
"RV/R5.PHL/2013/TRa-425","LC018551","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Camarines Sur","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-425"
"RV/R5.PHL/2013/TRa-426","LC018552","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Camarines Sur","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-426"
"RV/R5.PHL/2013/TRa-427","LC018553","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-427"
"RV/R5.PHL/2013/TRa-429","LC018554","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","V, Albay","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R5.PHL/2013/TRa-429"
"RV/R7.PHL/2008/TRa-074.104","AB563890","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-074"
"RV/R7.PHL/2008/TRa-074.291","AB683641","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-074"
"RV/R7.PHL/2008/TRa-075","AB563891","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-075"
"RV/R7.PHL/2008/TRa-076","AB563892","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-076"
"RV/R7.PHL/2008/TRa-077","AB563893","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-077"
"RV/R7.PHL/2008/TRa-078","AB563894","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-078"
"RV/R7.PHL/2008/TRa-079.109","AB563895","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-079"
"RV/R7.PHL/2008/TRa-079.292","AB683642","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-079"
"RV/R7.PHL/2008/TRa-080","AB563896","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-080"
"RV/R7.PHL/2008/TRa-081","AB563897","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2008","2008",2008,803,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-081"
"RV/R7.PHL/2008/TRa-082","AB563898","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Cebu","2008","2008",2008,789,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-082"
"RV/R7.PHL/2008/TRa-083","AB563899","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 7, Negros Oriental","2008","2008",2008,769,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-083"
"RV/R7.PHL/2008/TRa-084","AB683588","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2008","2008",2008,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-084"
"RV/R7.PHL/2008/TRa-085","AB563900","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Valencia","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","-","23593515","RV/R7.PHL/2008/TRa-085"
"RV/R7.PHL/2008/TRa-096","AB563911","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-096"
"RV/R7.PHL/2008/TRa-097","AB563912","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-097"
"RV/R7.PHL/2008/TRa-098","AB563913","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-098"
"RV/R7.PHL/2008/TRa-099","AB563914","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-099"
"RV/R7.PHL/2008/TRa-100","AB563915","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-100"
"RV/R7.PHL/2008/TRa-101","AB563916","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-101"
"RV/R7.PHL/2008/TRa-102","AB563917","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-102"
"RV/R7.PHL/2008/TRa-103","AB563918","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Cebu","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2008/TRa-103"
"RV/R7.PHL/2009/TRa-143","AB563947","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-143"
"RV/R7.PHL/2009/TRa-144.162","AB563948","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region7, Negros Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R7.PHL/2009/TRa-144"
